video_id,video_label,text,published_at,like_count
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Is this Read Dead Online, a mod or normal story mode?",2025-02-24T23:13:17Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Real question- who else is in the conversation as the most dominant athlete there is CURRENTLY in their sport?,2025-02-21T19:03:13Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Love Sydney. An all-time great. Bol ran one of the worst races of her career. Very uncharacteristic. Just a mess technically. She'll be back.,2025-02-21T05:54:15Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Bol lost hope when she saw Sydney by her side.
Her last hurdle jump was like, “what the heck” lame jump.",2025-02-21T03:23:50Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Olympic Games in Atlanta 1996🇺🇸.  Svetlana Masterkova, at the 1996 Atlanta Olympics, won two Individual Gold medals in the 800m and 1500m, and performed better than all the representatives of the US team in Women's athletics at the home Olympics for the US representatives. 

at the moment, the 1996 Atlanta Olympics are the most recent Summer Olympics held in the United States. therefore, it is still relevant to talk about it.",2025-02-08T12:45:29Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"I like Sydney, but I do NOT like that crown.  To me that smacks of arrogance, similar to Simone Biles wearing that ""goat"" necklace.  I prefer it when victorious athletes stay humble, like Katie Ledecky.",2025-02-06T20:28:51Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Femke stands no chance. Sydney will always be the best.,2025-02-02T09:34:45Z,4
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,She makes it look effortless,2025-01-31T01:57:00Z,4
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"I always prefer the English calls of these events over American, even though I myself am American.  Too much breathlessness our calls, while the English maintain an inherent self-possession and dignity: ""These are the stakes, this is finally the time: head to head ...  Watch that clock, this may be world record pace ...  Off the last turn, and it looks like we have a decisive answer ...!""",2025-01-25T19:05:56Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,She ate Bol tf up 😂,2025-01-21T17:42:55Z,7
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,I love 😘😘😘 femke bol 🔥🔥🔥🔥🔥,2025-01-16T01:02:49Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"I’ve been calling Sydney The Cyborg cause she’s not a regular human,,,, she’s super human,,,, when will that name catch on for her?",2025-01-13T11:08:30Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Two greatest of all time? Please. Bol hasn’t won an Olympic gold.,2025-01-13T04:01:23Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,GET OUT OF THERE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2025-01-03T18:19:55Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Sidney the best the GOAT,2024-12-28T00:40:24Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Femke will crush her next time,2024-12-21T09:26:55Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Amazing performance from Anna Cockrell. Wasnt expecting that time. Cant wait to see more of her, shes in great shape.",2024-12-20T21:38:37Z,22
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,I am the world’s No. 1 Sydney fan. If only I had a way to write a letter to tell her how inspiring she is.,2024-12-15T18:57:47Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,DSD girly,2024-12-12T05:12:21Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Femke Bol is too weak & Sydney is way to fast 💯💪✊,2024-12-07T16:46:49Z,4
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Thank you for representing Europe FEMKE <3,2024-11-20T15:16:23Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Commentator said ""An incredible reception for the 2 greatest of all time"".  Sorry, but there is only one in 400h.  GOAT doesn't win bronze twice.  GOAT wins golds and breaks WRs.",2024-11-11T23:16:18Z,13
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,The energy expended from Bol between hurdles 2-3 to try and get herself back on level terms is what hurt her. She could have safely run 51.40-51.60 for silver.,2024-11-11T22:08:43Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Sydney chooses her races very carefully unlike bol.,2024-11-11T14:55:13Z,4
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,The QUEEN 👑💖❤,2024-11-11T01:43:37Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,apa dia makan oh,2024-11-10T14:11:17Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Anna getting that silver had me crying,2024-10-29T20:07:42Z,20
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Сильна фарма в США. 😢😢😢.,2024-10-21T16:19:14Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"I like Sydney, but I think Bol will eventually overtake here. Bol competes in multiple events. If she just focused on the 400H like Sydney, she would take it. Also Femke has run the fastest 400m relay split in history, and holds the 400m indoor record. That's just as valuable as 400H outdoor. She's no joke. And knowing track, Sydney had the advantage to have Bol on her outside.",2024-10-19T23:01:18Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"That analyst who said Sydney wouldn't have had to run that fast if Bol wasn't in the race is glazing to the max. How many hurdle races has Sydney been in without Bol and still ran a world record? Just utterly ridiculous. It's time for these analyst to stop acting like Bol is any kind of a threat to Sydney. Sydney waxes Bol every time they race. And saying Bol hadn't been under that kind of pressure in 2 years is because - she hadn't raced Sydney in 2 years. I get it - nobody wants to tell it like it is when someone has just lost a big race, but stop acting like track fans are stupid.",2024-10-19T20:09:04Z,7
